rank,street_name,u,v,key,strux_score,support_count,continuity_gap,continuity_KS,continuity_final,length_m,edge_betweenness
1,Piazza Torquato Tasso,104221654,104221652,0,2.52272,19,0.88076,0.84211,0.84211,111.11,0.00143359
2,Viale Fratelli Rosselli / Ponte della Vittoria / Piazza Vittorio Veneto,270386772,4843671684,0,2.42288,22,0.83694,0.77273,0.77273,436.85,0.02569263
3,Viale dei Mille,41687394,21026146,0,2.3819,16,0.84071,0.875,0.84071,203.14,0.00031031
4,Viale Giovanni Milton / Viale Filippo Strozzi / Sottopasso Raffaello Torricelli,4552200946,5185765376,0,2.22837,29,0.79853,0.65517,0.65517,553.84,0.02890832
5,Via Scipione Ammirato,267919611,2473278,0,2.17821,14,0.80435,0.85714,0.80435,140.98,0.01178637
6,Via dei Bastioni,271388580,271388214,0,1.96296,18,0.71322,0.66667,0.66667,589.29,0.00435974
7,Via Minima,269300702,252598989,0,1.96084,14,0.72408,0.78571,0.72408,65.34,0.00064005
8,Via Minima,252598989,269300702,0,1.96084,14,0.72408,0.78571,0.72408,65.34,0.00149122
9,Piazza Vittorio Veneto,275178126,5373272062,0,1.93432,14,0.76131,0.71429,0.71429,237.61,0.03831208
10,Via Antonio Scialoja,268447642,268447644,0,1.91943,11,0.77244,0.81818,0.77244,162.47,0.0139143
11,Via Giordano Bruno,2473278,267469204,0,1.90923,9,0.82917,0.88889,0.82917,117.21,0.00031835
12,Viale Giuseppe Mazzini,866655890,267917226,0,1.89405,9,0.82258,0.88889,0.82258,89.49,0.02996189
13,Via Guido Spadolini,5299325161,274242125,0,1.87571,14,0.69264,0.71429,0.69264,334.67,0.00664986
14,Lungarno Francesco Ferrucci,271613066,271613037,0,1.84207,10,0.7682,0.8,0.7682,119.23,0.00518879
15,Via del Leone,8436627,269301738,0,1.82704,13,0.70496,0.69231,0.69231,145.83,0.02881851
16,Via del Ponte alle Mosse,312861416,190045617,0,1.82704,13,0.70057,0.69231,0.69231,185.12,0.00943258
17,Viale Filippo Strozzi / Viale Spartaco Lavagnini,5967509152,267396827,0,1.82069,10,0.75929,0.8,0.75929,71.2,0.06850252
18,Viale dei Mille,5695339609,5695339599,0,1.8072,11,0.77354,0.72727,0.72727,147.77,0.01108667
19,Via dei Rondinelli,249430055,268628928,0,1.80665,9,0.78462,0.88889,0.78462,88.13,0.00721351
20,Piazza della Libertà,2473223,13618178277,0,1.7909,9,0.81037,0.77778,0.77778,108.84,0.00159645
