seed,noise,success_rate,death_rate,mean_arrival,temporal_jitter
0,0.01,0.0,1.0,,
1,0.01,0.0,1.0,,
2,0.01,0.0,1.0,,
3,0.01,0.0,1.0,,
4,0.01,0.0,1.0,,
5,0.01,0.0,1.0,,
6,0.01,0.0,1.0,,
7,0.01,0.0,1.0,,
8,0.01,0.0,1.0,,
9,0.01,0.0,1.0,,
10,0.01,0.0,1.0,,
11,0.01,0.0,1.0,,
12,0.01,0.0,1.0,,
13,0.01,0.0,1.0,,
14,0.01,0.0,1.0,,
15,0.01,0.0,1.0,,
16,0.01,0.0,1.0,,
17,0.01,0.0,1.0,,
18,0.01,0.0,1.0,,
19,0.01,0.0,1.0,,
0,0.03,0.0,1.0,,
1,0.03,0.0,1.0,,
2,0.03,0.0,1.0,,
3,0.03,0.0,1.0,,
4,0.03,0.0,1.0,,
5,0.03,0.0,1.0,,
6,0.03,0.0,1.0,,
7,0.03,0.0,1.0,,
8,0.03,0.0,1.0,,
9,0.03,0.0,1.0,,
10,0.03,0.0,1.0,,
11,0.03,0.0,1.0,,
12,0.03,0.0,1.0,,
13,0.03,0.0,1.0,,
14,0.03,0.0,1.0,,
15,0.03,0.0,1.0,,
16,0.03,0.0,1.0,,
17,0.03,0.0,1.0,,
18,0.03,0.0,1.0,,
19,0.03,0.0,1.0,,
0,0.06,0.0,1.0,,
1,0.06,0.0,1.0,,
2,0.06,0.0,1.0,,
3,0.06,0.0,1.0,,
4,0.06,0.0,1.0,,
5,0.06,0.0,1.0,,
6,0.06,0.0,1.0,,
7,0.06,0.0,1.0,,
8,0.06,0.0,1.0,,
9,0.06,0.0,1.0,,
10,0.06,0.0,1.0,,
11,0.06,0.0,1.0,,
12,0.06,0.0,1.0,,
13,0.06,0.0,1.0,,
14,0.06,0.0,1.0,,
15,0.06,0.0,1.0,,
16,0.06,0.0,1.0,,
17,0.06,0.0,1.0,,
18,0.06,0.0,1.0,,
19,0.06,0.0,1.0,,
0,0.1,0.0,1.0,,
1,0.1,0.0,1.0,,
2,0.1,0.0,1.0,,
3,0.1,0.0,1.0,,
4,0.1,0.0,1.0,,
5,0.1,0.0,1.0,,
6,0.1,0.0,1.0,,
7,0.1,0.0,1.0,,
8,0.1,0.0,1.0,,
9,0.1,0.0,1.0,,
10,0.1,0.0,1.0,,
11,0.1,0.0,1.0,,
12,0.1,0.0,1.0,,
13,0.1,0.0,1.0,,
14,0.1,0.0,1.0,,
15,0.1,0.0,1.0,,
16,0.1,0.0,1.0,,
17,0.1,0.0,1.0,,
18,0.1,0.0,1.0,,
19,0.1,0.0,1.0,,
