seed,repulsion_strength,success_rate,death_rate,mean_arrival,temporal_jitter
0,0.05,0.0,1.0,,
1,0.05,0.0,1.0,,
2,0.05,0.0,1.0,,
3,0.05,0.0,1.0,,
4,0.05,0.0,1.0,,
5,0.05,0.0,1.0,,
6,0.05,0.0,1.0,,
7,0.05,0.0,1.0,,
8,0.05,0.0,1.0,,
9,0.05,0.0,1.0,,
10,0.05,0.0,1.0,,
11,0.05,0.0,1.0,,
12,0.05,0.0,1.0,,
13,0.05,0.0,1.0,,
14,0.05,0.0,1.0,,
15,0.05,0.0,1.0,,
16,0.05,0.0,1.0,,
17,0.05,0.0,1.0,,
18,0.05,0.0,1.0,,
19,0.05,0.0,1.0,,
0,0.1,0.0,1.0,,
1,0.1,0.0,1.0,,
2,0.1,0.0,1.0,,
3,0.1,0.0,1.0,,
4,0.1,0.0,1.0,,
5,0.1,0.0,1.0,,
6,0.1,0.0,1.0,,
7,0.1,0.0,1.0,,
8,0.1,0.0,1.0,,
9,0.1,0.0,1.0,,
10,0.1,0.0,1.0,,
11,0.1,0.0,1.0,,
12,0.1,0.0,1.0,,
13,0.1,0.0,1.0,,
14,0.1,0.0,1.0,,
15,0.1,0.0,1.0,,
16,0.1,0.0,1.0,,
17,0.1,0.0,1.0,,
18,0.1,0.0,1.0,,
19,0.1,0.0,1.0,,
0,0.2,0.0,1.0,,
1,0.2,0.0,1.0,,
2,0.2,0.0,1.0,,
3,0.2,0.0,1.0,,
4,0.2,0.0,1.0,,
5,0.2,0.0,1.0,,
6,0.2,0.0,1.0,,
7,0.2,0.0,1.0,,
8,0.2,0.0,1.0,,
9,0.2,0.0,1.0,,
10,0.2,0.0,1.0,,
11,0.2,0.0,1.0,,
12,0.2,0.0,1.0,,
13,0.2,0.0,1.0,,
14,0.2,0.0,1.0,,
15,0.2,0.0,1.0,,
16,0.2,0.0,1.0,,
17,0.2,0.0,1.0,,
18,0.2,0.0,1.0,,
19,0.2,0.0,1.0,,
0,0.35,0.0,1.0,,
1,0.35,0.0,1.0,,
2,0.35,0.0,1.0,,
3,0.35,0.0,1.0,,
4,0.35,0.0,1.0,,
5,0.35,0.0,1.0,,
6,0.35,0.0,1.0,,
7,0.35,0.0,1.0,,
8,0.35,0.0,1.0,,
9,0.35,0.0,1.0,,
10,0.35,0.0,1.0,,
11,0.35,0.0,1.0,,
12,0.35,0.0,1.0,,
13,0.35,0.0,1.0,,
14,0.35,0.0,1.0,,
15,0.35,0.0,1.0,,
16,0.35,0.0,1.0,,
17,0.35,0.0,1.0,,
18,0.35,0.0,1.0,,
19,0.35,0.0,1.0,,
